"","remoteness","state","value","year","measure"
"690","Inner Regional","Victoria","81.7","2022","Median age at death_years"
"691","Inner Regional","Victoria","1242354","2023","Estimated Resident Population_persons"
"692","Inner Regional","Victoria","11165","2023","Deaths_no."
"693","Inner Regional","Victoria","2.4","2023","Infant mortality rate_rate"
"694","Inner Regional","Victoria","5.6","2023","Standardised death rate_rate"
"695","Inner Regional","Victoria","81.8","2023","Median age at death_years"
"696","Inner Regional","Victoria","1259831","2024","Estimated Resident Population_persons"
"697","Inner Regional","Victoria","11259","2024","Deaths_no."
"698","Inner Regional","Victoria","2.6","2024","Infant mortality rate_rate"
"699","Inner Regional","Victoria","5.6","2024","Standardised death rate_rate"
"700","Inner Regional","Victoria","81.8","2024","Median age at death_years"
"701","Outer Regional","Victoria","241389","2011","Estimated Resident Population_persons"
"702","Outer Regional","Victoria","2340","2011","Deaths_no."
"703","Outer Regional","Victoria","np","2011","Infant mortality rate_rate"
"704","Outer Regional","Victoria","np","2011","Standardised death rate_rate"
"705","Outer Regional","Victoria","np","2011","Median age at death_years"
"706","Outer Regional","Victoria","242922","2012","Estimated Resident Population_persons"
"707","Outer Regional","Victoria","2165","2012","Deaths_no."
"708","Outer Regional","Victoria","np","2012","Infant mortality rate_rate"
"709","Outer Regional","Victoria","np","2012","Standardised death rate_rate"
"710","Outer Regional","Victoria","np","2012","Median age at death_years"
"711","Outer Regional","Victoria","244278","2013","Estimated Resident Population_persons"
"712","Outer Regional","Victoria","2249","2013","Deaths_no."
"713","Outer Regional","Victoria","3.8","2013","Infant mortality rate_rate"
"714","Outer Regional","Victoria","6","2013","Standardised death rate_rate"
"715","Outer Regional","Victoria","81.400000000000006","2013","Median age at death_years"
"716","Outer Regional","Victoria","245174","2014","Estimated Resident Population_persons"
"717","Outer Regional","Victoria","2279","2014","Deaths_no."
"718","Outer Regional","Victoria","3.7","2014","Infant mortality rate_rate"
"719","Outer Regional","Victoria","5.8","2014","Standardised death rate_rate"
"720","Outer Regional","Victoria","81.5","2014","Median age at death_years"
"721","Outer Regional","Victoria","246141","2015","Estimated Resident Population_persons"
"722","Outer Regional","Victoria","2367","2015","Deaths_no."
"723","Outer Regional","Victoria","2.8","2015","Infant mortality rate_rate"
"724","Outer Regional","Victoria","5.8","2015","Standardised death rate_rate"
"725","Outer Regional","Victoria","81.599999999999994","2015","Median age at death_years"
"726","Outer Regional","Victoria","247658","2016","Estimated Resident Population_persons"
"727","Outer Regional","Victoria","2439","2016","Deaths_no."
"728","Outer Regional","Victoria","3.2","2016","Infant mortality rate_rate"
"729","Outer Regional","Victoria","5.8","2016","Standardised death rate_rate"
"730","Outer Regional","Victoria","81.900000000000006","2016","Median age at death_years"
"731","Outer Regional","Victoria","249714","2017","Estimated Resident Population_persons"
"732","Outer Regional","Victoria","2410","2017","Deaths_no."
"733","Outer Regional","Victoria","3.4","2017","Infant mortality rate_rate"
"734","Outer Regional","Victoria","5.9","2017","Standardised death rate_rate"
"735","Outer Regional","Victoria","81.8","2017","Median age at death_years"
"736","Outer Regional","Victoria","251980","2018","Estimated Resident Population_persons"
"737","Outer Regional","Victoria","2402","2018","Deaths_no."
"738","Outer Regional","Victoria","3.9","2018","Infant mortality rate_rate"
"739","Outer Regional","Victoria","5.8","2018","Standardised death rate_rate"
"740","Outer Regional","Victoria","81.7","2018","Median age at death_years"
"741","Outer Regional","Victoria","253949","2019","Estimated Resident Population_persons"
"742","Outer Regional","Victoria","2569","2019","Deaths_no."
"743","Outer Regional","Victoria","2.6","2019","Infant mortality rate_rate"
"744","Outer Regional","Victoria","5.8","2019","Standardised death rate_rate"
"745","Outer Regional","Victoria","81.400000000000006","2019","Median age at death_years"
"746","Outer Regional","Victoria","256023","2020","Estimated Resident Population_persons"
"747","Outer Regional","Victoria","2433","2020","Deaths_no."
"748","Outer Regional","Victoria","2.7","2020","Infant mortality rate_rate"
"749","Outer Regional","Victoria","5.7","2020","Standardised death rate_rate"
"750","Outer Regional","Victoria","81.400000000000006","2020","Median age at death_years"
"751","Outer Regional","Victoria","256701","2021","Estimated Resident Population_persons"
"752","Outer Regional","Victoria","2520","2021","Deaths_no."
"753","Outer Regional","Victoria","2.8","2021","Infant mortality rate_rate"
"754","Outer Regional","Victoria","5.7","2021","Standardised death rate_rate"
"755","Outer Regional","Victoria","81.2","2021","Median age at death_years"
"756","Outer Regional","Victoria","257600","2022","Estimated Resident Population_persons"
"757","Outer Regional","Victoria","2850","2022","Deaths_no."
"758","Outer Regional","Victoria","2.8","2022","Infant mortality rate_rate"
"759","Outer Regional","Victoria","5.7","2022","Standardised death rate_rate"
"760","Outer Regional","Victoria","81.2","2022","Median age at death_years"
"761","Outer Regional","Victoria","258087","2023","Estimated Resident Population_persons"
"762","Outer Regional","Victoria","2660","2023","Deaths_no."
"763","Outer Regional","Victoria","2.5","2023","Infant mortality rate_rate"
"764","Outer Regional","Victoria","5.8","2023","Standardised death rate_rate"
"765","Outer Regional","Victoria","81.2","2023","Median age at death_years"
"766","Outer Regional","Victoria","258478","2024","Estimated Resident Population_persons"
"767","Outer Regional","Victoria","2796","2024","Deaths_no."
"768","Outer Regional","Victoria","2.2999999999999998","2024","Infant mortality rate_rate"
"769","Outer Regional","Victoria","5.9","2024","Standardised death rate_rate"
"770","Outer Regional","Victoria","81.2","2024","Median age at death_years"
"771","Inner and Outer Regional","Victoria","1288959","2011","Estimated Resident Population_persons"
"772","Inner and Outer Regional","Victoria","10924","2011","Deaths_no."
"773","Inner and Outer Regional","Victoria","np","2011","Infant mortality rate_rate"
"774","Inner and Outer Regional","Victoria","np","2011","Standardised death rate_rate"
"775","Inner and Outer Regional","Victoria","np","2011","Median age at death_years"
"776","Inner and Outer Regional","Victoria","1304599","2012","Estimated Resident Population_persons"
"777","Inner and Outer Regional","Victoria","10622","2012","Deaths_no."
"778","Inner and Outer Regional","Victoria","np","2012","Infant mortality rate_rate"
"779","Inner and Outer Regional","Victoria","np","2012","Standardised death rate_rate"
"780","Inner and Outer Regional","Victoria","np","2012","Median age at death_years"
"781","Inner and Outer Regional","Victoria","1320137","2013","Estimated Resident Population_persons"
"782","Inner and Outer Regional","Victoria","10773","2013","Deaths_no."
"783","Inner and Outer Regional","Victoria","3.8","2013","Infant mortality rate_rate"
"784","Inner and Outer Regional","Victoria","5.9","2013","Standardised death rate_rate"
"785","Inner and Outer Regional","Victoria","81.8","2013","Median age at death_years"
"786","Inner and Outer Regional","Victoria","1334637","2014","Estimated Resident Population_persons"
"787","Inner and Outer Regional","Victoria","11375","2014","Deaths_no."
"788","Inner and Outer Regional","Victoria","3.5","2014","Infant mortality rate_rate"
"789","Inner and Outer Regional","Victoria","5.8","2014","Standardised death rate_rate"
"790","Inner and Outer Regional","Victoria","81.7","2014","Median age at death_years"
"791","Inner and Outer Regional","Victoria","1350018","2015","Estimated Resident Population_persons"
"792","Inner and Outer Regional","Victoria","11984","2015","Deaths_no."
"793","Inner and Outer Regional","Victoria","3","2015","Infant mortality rate_rate"
"794","Inner and Outer Regional","Victoria","5.9","2015","Standardised death rate_rate"
"795","Inner and Outer Regional","Victoria","81.7","2015","Median age at death_years"
"796","Inner and Outer Regional","Victoria","1369957","2016","Estimated Resident Population_persons"
"797","Inner and Outer Regional","Victoria","11948","2016","Deaths_no."
"798","Inner and Outer Regional","Victoria","2.9","2016","Infant mortality rate_rate"
"799","Inner and Outer Regional","Victoria","5.9","2016","Standardised death rate_rate"
"800","Inner and Outer Regional","Victoria","81.8","2016","Median age at death_years"
"801","Inner and Outer Regional","Victoria","1389917","2017","Estimated Resident Population_persons"
"802","Inner and Outer Regional","Victoria","11830","2017","Deaths_no."
"803","Inner and Outer Regional","Victoria","2.9","2017","Infant mortality rate_rate"
"804","Inner and Outer Regional","Victoria","5.8","2017","Standardised death rate_rate"
"805","Inner and Outer Regional","Victoria","81.900000000000006","2017","Median age at death_years"
"806","Inner and Outer Regional","Victoria","1410511","2018","Estimated Resident Population_persons"
"807","Inner and Outer Regional","Victoria","11756","2018","Deaths_no."
"808","Inner and Outer Regional","Victoria","3.3","2018","Infant mortality rate_rate"
"809","Inner and Outer Regional","Victoria","5.7","2018","Standardised death rate_rate"
"810","Inner and Outer Regional","Victoria","81.900000000000006","2018","Median age at death_years"
"811","Inner and Outer Regional","Victoria","1431898","2019","Estimated Resident Population_persons"
"812","Inner and Outer Regional","Victoria","13085","2019","Deaths_no."
"813","Inner and Outer Regional","Victoria","3.3","2019","Infant mortality rate_rate"
"814","Inner and Outer Regional","Victoria","5.7","2019","Standardised death rate_rate"
"815","Inner and Outer Regional","Victoria","81.7","2019","Median age at death_years"
"816","Inner and Outer Regional","Victoria","1452707","2020","Estimated Resident Population_persons"
"817","Inner and Outer Regional","Victoria","12246","2020","Deaths_no."
"818","Inner and Outer Regional","Victoria","3.1","2020","Infant mortality rate_rate"
"819","Inner and Outer Regional","Victoria","5.6","2020","Standardised death rate_rate"
"820","Inner and Outer Regional","Victoria","81.5","2020","Median age at death_years"
"821","Inner and Outer Regional","Victoria","1469438","2021","Estimated Resident Population_persons"
"822","Inner and Outer Regional","Victoria","12791","2021","Deaths_no."
"823","Inner and Outer Regional","Victoria","3.1","2021","Infant mortality rate_rate"
"824","Inner and Outer Regional","Victoria","5.6","2021","Standardised death rate_rate"
"825","Inner and Outer Regional","Victoria","81.5","2021","Median age at death_years"
"826","Inner and Outer Regional","Victoria","1485922","2022","Estimated Resident Population_persons"
"827","Inner and Outer Regional","Victoria","14594","2022","Deaths_no."
"828","Inner and Outer Regional","Victoria","2.7","2022","Infant mortality rate_rate"
"829","Inner and Outer Regional","Victoria","5.6","2022","Standardised death rate_rate"
"830","Inner and Outer Regional","Victoria","81.599999999999994","2022","Median age at death_years"
"831","Inner and Outer Regional","Victoria","1500441","2023","Estimated Resident Population_persons"
"832","Inner and Outer Regional","Victoria","13825","2023","Deaths_no."
"833","Inner and Outer Regional","Victoria","2.4","2023","Infant mortality rate_rate"
"834","Inner and Outer Regional","Victoria","5.7","2023","Standardised death rate_rate"
"835","Inner and Outer Regional","Victoria","81.7","2023","Median age at death_years"
"836","Inner and Outer Regional","Victoria","1518309","2024","Estimated Resident Population_persons"
"837","Inner and Outer Regional","Victoria","14055","2024","Deaths_no."
"838","Inner and Outer Regional","Victoria","2.6","2024","Infant mortality rate_rate"
"839","Inner and Outer Regional","Victoria","5.7","2024","Standardised death rate_rate"
"840","Inner and Outer Regional","Victoria","81.7","2024","Median age at death_years"
"841","Remote","Victoria","3554","2011","Estimated Resident Population_persons"
"842","Remote","Victoria","42","2011","Deaths_no."
"843","Remote","Victoria","np","2011","Infant mortality rate_rate"
"844","Remote","Victoria","np","2011","Standardised death rate_rate"
"845","Remote","Victoria","np","2011","Median age at death_years"
"846","Remote","Victoria","3537","2012","Estimated Resident Population_persons"
"847","Remote","Victoria","41","2012","Deaths_no."
"848","Remote","Victoria","np","2012","Infant mortality rate_rate"
"849","Remote","Victoria","np","2012","Standardised death rate_rate"
"850","Remote","Victoria","np","2012","Median age at death_years"
"851","Remote","Victoria","3470","2013","Estimated Resident Population_persons"
"852","Remote","Victoria","46","2013","Deaths_no."
"853","Remote","Victoria","np","2013","Infant mortality rate_rate"
"854","Remote","Victoria","6.4","2013","Standardised death rate_rate"
"855","Remote","Victoria","82.3","2013","Median age at death_years"
"856","Remote","Victoria","3430","2014","Estimated Resident Population_persons"
"857","Remote","Victoria","37","2014","Deaths_no."
"858","Remote","Victoria","np","2014","Infant mortality rate_rate"
"859","Remote","Victoria","6.1","2014","Standardised death rate_rate"
"860","Remote","Victoria","81.7","2014","Median age at death_years"
"861","Remote","Victoria","3403","2015","Estimated Resident Population_persons"
"862","Remote","Victoria","50","2015","Deaths_no."
"863","Remote","Victoria","np","2015","Infant mortality rate_rate"
"864","Remote","Victoria","6.6","2015","Standardised death rate_rate"
"865","Remote","Victoria","82.7","2015","Median age at death_years"
"866","Remote","Victoria","3380","2016","Estimated Resident Population_persons"
"867","Remote","Victoria","32","2016","Deaths_no."
"868","Remote","Victoria","np","2016","Infant mortality rate_rate"
"869","Remote","Victoria","6.1","2016","Standardised death rate_rate"
"870","Remote","Victoria","82.1","2016","Median age at death_years"
"871","Remote","Victoria","3342","2017","Estimated Resident Population_persons"
"872","Remote","Victoria","30","2017","Deaths_no."
"873","Remote","Victoria","np","2017","Infant mortality rate_rate"
"874","Remote","Victoria","5.4","2017","Standardised death rate_rate"
"875","Remote","Victoria","84.4","2017","Median age at death_years"
"876","Remote","Victoria","3330","2018","Estimated Resident Population_persons"
"877","Remote","Victoria","40","2018","Deaths_no."
"878","Remote","Victoria","np","2018","Infant mortality rate_rate"
"879","Remote","Victoria","np","2018","Standardised death rate_rate"
"880","Remote","Victoria","84.6","2018","Median age at death_years"
"881","Remote","Victoria","3337","2019","Estimated Resident Population_persons"
"882","Remote","Victoria","59","2019","Deaths_no."
"883","Remote","Victoria","np","2019","Infant mortality rate_rate"
"884","Remote","Victoria","np","2019","Standardised death rate_rate"
"885","Remote","Victoria","84.4","2019","Median age at death_years"
"886","Remote","Victoria","3308","2020","Estimated Resident Population_persons"
"887","Remote","Victoria","33","2020","Deaths_no."
"888","Remote","Victoria","np","2020","Infant mortality rate_rate"
"889","Remote","Victoria","np","2020","Standardised death rate_rate"
"890","Remote","Victoria","83.4","2020","Median age at death_years"
"891","Remote","Victoria","3288","2021","Estimated Resident Population_persons"
"892","Remote","Victoria","54","2021","Deaths_no."
"893","Remote","Victoria","np","2021","Infant mortality rate_rate"
"894","Remote","Victoria","np","2021","Standardised death rate_rate"
"895","Remote","Victoria","82.4","2021","Median age at death_years"
"896","Remote","Victoria","3285","2022","Estimated Resident Population_persons"
"897","Remote","Victoria","49","2022","Deaths_no."
"898","Remote","Victoria","np","2022","Infant mortality rate_rate"
"899","Remote","Victoria","np","2022","Standardised death rate_rate"
"900","Remote","Victoria","82.7","2022","Median age at death_years"
"901","Remote","Victoria","3250","2023","Estimated Resident Population_persons"
"902","Remote","Victoria","43","2023","Deaths_no."
"903","Remote","Victoria","np","2023","Infant mortality rate_rate"
"904","Remote","Victoria","7","2023","Standardised death rate_rate"
"905","Remote","Victoria","81.099999999999994","2023","Median age at death_years"
"906","Remote","Victoria","3238","2024","Estimated Resident Population_persons"
"907","Remote","Victoria","37","2024","Deaths_no."
"908","Remote","Victoria","np","2024","Infant mortality rate_rate"
"909","Remote","Victoria","np","2024","Standardised death rate_rate"
"910","Remote","Victoria","80.2","2024","Median age at death_years"
"911","Total Victoria","Victoria","5537817","2011","Estimated Resident Population_persons"
"912","Total Victoria","Victoria","36552","2011","Deaths_no."
"913","Total Victoria","Victoria","np","2011","Infant mortality rate_rate"
"914","Total Victoria","Victoria","np","2011","Standardised death rate_rate"
"915","Total Victoria","Victoria","np","2011","Median age at death_years"
"916","Total Victoria","Victoria","5651091","2012","Estimated Resident Population_persons"
"917","Total Victoria","Victoria","35760","2012","Deaths_no."
"918","Total Victoria","Victoria","np","2012","Infant mortality rate_rate"
"919","Total Victoria","Victoria","np","2012","Standardised death rate_rate"
"920","Total Victoria","Victoria","np","2012","Median age at death_years"
"921","Total Victoria","Victoria","5772669","2013","Estimated Resident Population_persons"
"922","Total Victoria","Victoria","35916","2013","Deaths_no."
"923","Total Victoria","Victoria","3.1","2013","Infant mortality rate_rate"
"924","Total Victoria","Victoria","5.4","2013","Standardised death rate_rate"
"925","Total Victoria","Victoria","82.2","2013","Median age at death_years"
"926","Total Victoria","Victoria","5894917","2014","Estimated Resident Population_persons"
"927","Total Victoria","Victoria","38042","2014","Deaths_no."
"928","Total Victoria","Victoria","2.9","2014","Infant mortality rate_rate"
"929","Total Victoria","Victoria","5.3","2014","Standardised death rate_rate"
"930","Total Victoria","Victoria","82.3","2014","Median age at death_years"
"931","Total Victoria","Victoria","6022322","2015","Estimated Resident Population_persons"
"932","Total Victoria","Victoria","39904","2015","Deaths_no."
"933","Total Victoria","Victoria","2.7","2015","Infant mortality rate_rate"
"934","Total Victoria","Victoria","5.3","2015","Standardised death rate_rate"
"935","Total Victoria","Victoria","82.4","2015","Median age at death_years"
"936","Total Victoria","Victoria","6173172","2016","Estimated Resident Population_persons"
"937","Total Victoria","Victoria","39450","2016","Deaths_no."
"938","Total Victoria","Victoria","2.6","2016","Infant mortality rate_rate"
"939","Total Victoria","Victoria","5.3","2016","Standardised death rate_rate"
"940","Total Victoria","Victoria","82.4","2016","Median age at death_years"
"941","Total Victoria","Victoria","6302608","2017","Estimated Resident Population_persons"
"942","Total Victoria","Victoria","39791","2017","Deaths_no."
"943","Total Victoria","Victoria","2.8","2017","Infant mortality rate_rate"
"944","Total Victoria","Victoria","5.3","2017","Standardised death rate_rate"
"945","Total Victoria","Victoria","82.6","2017","Median age at death_years"
"946","Total Victoria","Victoria","6423038","2018","Estimated Resident Population_persons"
"947","Total Victoria","Victoria","38231","2018","Deaths_no."
"948","Total Victoria","Victoria","3","2018","Infant mortality rate_rate"
"949","Total Victoria","Victoria","5","2018","Standardised death rate_rate"
"950","Total Victoria","Victoria","82.6","2018","Median age at death_years"
"951","Total Victoria","Victoria","6537305","2019","Estimated Resident Population_persons"
"952","Total Victoria","Victoria","43944","2019","Deaths_no."
"953","Total Victoria","Victoria","3.2","2019","Infant mortality rate_rate"
"954","Total Victoria","Victoria","5.0999999999999996","2019","Standardised death rate_rate"
"955","Total Victoria","Victoria","82.5","2019","Median age at death_years"
"956","Total Victoria","Victoria","6615046","2020","Estimated Resident Population_persons"
"957","Total Victoria","Victoria","41093","2020","Deaths_no."
"958","Total Victoria","Victoria","3.1","2020","Infant mortality rate_rate"
"959","Total Victoria","Victoria","5","2020","Standardised death rate_rate"
"960","Total Victoria","Victoria","82.4","2020","Median age at death_years"
"961","Total Victoria","Victoria","6547822","2021","Estimated Resident Population_persons"
"962","Total Victoria","Victoria","42486","2021","Deaths_no."
"963","Total Victoria","Victoria","3.1","2021","Infant mortality rate_rate"
"964","Total Victoria","Victoria","5.0999999999999996","2021","Standardised death rate_rate"
"965","Total Victoria","Victoria","82.3","2021","Median age at death_years"
"966","Total Victoria","Victoria","6625964","2022","Estimated Resident Population_persons"
"967","Total Victoria","Victoria","47978","2022","Deaths_no."
"968","Total Victoria","Victoria","3","2022","Infant mortality rate_rate"
"969","Total Victoria","Victoria","5.0999999999999996","2022","Standardised death rate_rate"
"970","Total Victoria","Victoria","82.6","2022","Median age at death_years"
"971","Total Victoria","Victoria","6812477","2023","Estimated Resident Population_persons"
"972","Total Victoria","Victoria","45326","2023","Deaths_no."
"973","Total Victoria","Victoria","2.9","2023","Infant mortality rate_rate"
"974","Total Victoria","Victoria","5.2","2023","Standardised death rate_rate"
"975","Total Victoria","Victoria","82.5","2023","Median age at death_years"
"976","Total Victoria","Victoria","6981352","2024","Estimated Resident Population_persons"
"977","Total Victoria","Victoria","45943","2024","Deaths_no."
"978","Total Victoria","Victoria","2.8","2024","Infant mortality rate_rate"
"979","Total Victoria","Victoria","5.2","2024","Standardised death rate_rate"
"980","Total Victoria","Victoria","82.5","2024","Median age at death_years"
"981","Major Cities","Queensland","2794169","2011","Estimated Resident Population_persons"
"982","Major Cities","Queensland","16327","2011","Deaths_no."
"983","Major Cities","Queensland","np","2011","Infant mortality rate_rate"
"984","Major Cities","Queensland","np","2011","Standardised death rate_rate"
"985","Major Cities","Queensland","np","2011","Median age at death_years"
"986","Major Cities","Queensland","2860924","2012","Estimated Resident Population_persons"
"987","Major Cities","Queensland","16933","2012","Deaths_no."
"988","Major Cities","Queensland","np","2012","Infant mortality rate_rate"
"989","Major Cities","Queensland","np","2012","Standardised death rate_rate"
"990","Major Cities","Queensland","np","2012","Median age at death_years"
"991","Major Cities","Queensland","2922735","2013","Estimated Resident Population_persons"
"992","Major Cities","Queensland","16731","2013","Deaths_no."
"993","Major Cities","Queensland","4.2","2013","Infant mortality rate_rate"
"994","Major Cities","Queensland","5.6","2013","Standardised death rate_rate"
"995","Major Cities","Queensland","81.3","2013","Median age at death_years"
"996","Major Cities","Queensland","2976136","2014","Estimated Resident Population_persons"
"997","Major Cities","Queensland","17377","2014","Deaths_no."
"998","Major Cities","Queensland","4.2","2014","Infant mortality rate_rate"
"999","Major Cities","Queensland","5.6","2014","Standardised death rate_rate"
"1000","Major Cities","Queensland","81.400000000000006","2014","Median age at death_years"
"1001","Major Cities","Queensland","3028447","2015","Estimated Resident Population_persons"
"1002","Major Cities","Queensland","17808","2015","Deaths_no."
"1003","Major Cities","Queensland","4","2015","Infant mortality rate_rate"
"1004","Major Cities","Queensland","5.5","2015","Standardised death rate_rate"
"1005","Major Cities","Queensland","81.5","2015","Median age at death_years"
"1006","Major Cities","Queensland","3090353","2016","Estimated Resident Population_persons"
"1007","Major Cities","Queensland","17688","2016","Deaths_no."
"1008","Major Cities","Queensland","3.8","2016","Infant mortality rate_rate"
"1009","Major Cities","Queensland","5.4","2016","Standardised death rate_rate"
"1010","Major Cities","Queensland","81.599999999999994","2016","Median age at death_years"
"1011","Major Cities","Queensland","3157015","2017","Estimated Resident Population_persons"
"1012","Major Cities","Queensland","18959","2017","Deaths_no."
"1013","Major Cities","Queensland","3.7","2017","Infant mortality rate_rate"
"1014","Major Cities","Queensland","5.3","2017","Standardised death rate_rate"
"1015","Major Cities","Queensland","81.599999999999994","2017","Median age at death_years"
"1016","Major Cities","Queensland","3222134","2018","Estimated Resident Population_persons"
"1017","Major Cities","Queensland","18199","2018","Deaths_no."
"1018","Major Cities","Queensland","3.7","2018","Infant mortality rate_rate"
"1019","Major Cities","Queensland","5.2","2018","Standardised death rate_rate"
"1020","Major Cities","Queensland","81.400000000000006","2018","Median age at death_years"
"1021","Major Cities","Queensland","3288723","2019","Estimated Resident Population_persons"
"1022","Major Cities","Queensland","19416","2019","Deaths_no."
"1023","Major Cities","Queensland","3.7","2019","Infant mortality rate_rate"
"1024","Major Cities","Queensland","5.2","2019","Standardised death rate_rate"
"1025","Major Cities","Queensland","81.400000000000006","2019","Median age at death_years"
"1026","Major Cities","Queensland","3348704","2020","Estimated Resident Population_persons"
"1027","Major Cities","Queensland","18533","2020","Deaths_no."
"1028","Major Cities","Queensland","3.7","2020","Infant mortality rate_rate"
"1029","Major Cities","Queensland","5","2020","Standardised death rate_rate"
"1030","Major Cities","Queensland","81.3","2020","Median age at death_years"
"1031","Major Cities","Queensland","3382871","2021","Estimated Resident Population_persons"
"1032","Major Cities","Queensland","20218","2021","Deaths_no."
"1033","Major Cities","Queensland","3.6","2021","Infant mortality rate_rate"
"1034","Major Cities","Queensland","5","2021","Standardised death rate_rate"
"1035","Major Cities","Queensland","81.3","2021","Median age at death_years"
"1036","Major Cities","Queensland","3457709","2022","Estimated Resident Population_persons"
"1037","Major Cities","Queensland","23114","2022","Deaths_no."
"1038","Major Cities","Queensland","3.8","2022","Infant mortality rate_rate"
"1039","Major Cities","Queensland","5.0999999999999996","2022","Standardised death rate_rate"
"1040","Major Cities","Queensland","81.5","2022","Median age at death_years"
"1041","Major Cities","Queensland","3563005","2023","Estimated Resident Population_persons"
"1042","Major Cities","Queensland","21761","2023","Deaths_no."
"1043","Major Cities","Queensland","3.8","2023","Infant mortality rate_rate"
"1044","Major Cities","Queensland","5.2","2023","Standardised death rate_rate"
"1045","Major Cities","Queensland","81.7","2023","Median age at death_years"
"1046","Major Cities","Queensland","3654893","2024","Estimated Resident Population_persons"
"1047","Major Cities","Queensland","22821","2024","Deaths_no."
"1048","Major Cities","Queensland","4.4000000000000004","2024","Infant mortality rate_rate"
"1049","Major Cities","Queensland","5.3","2024","Standardised death rate_rate"
"1050","Major Cities","Queensland","81.8","2024","Median age at death_years"
"1051","Inner Regional","Queensland","899568","2011","Estimated Resident Population_persons"
"1052","Inner Regional","Queensland","6427","2011","Deaths_no."
"1053","Inner Regional","Queensland","np","2011","Infant mortality rate_rate"
"1054","Inner Regional","Queensland","np","2011","Standardised death rate_rate"
"1055","Inner Regional","Queensland","np","2011","Median age at death_years"
"1056","Inner Regional","Queensland","914619","2012","Estimated Resident Population_persons"
"1057","Inner Regional","Queensland","6700","2012","Deaths_no."
"1058","Inner Regional","Queensland","np","2012","Infant mortality rate_rate"
"1059","Inner Regional","Queensland","np","2012","Standardised death rate_rate"
"1060","Inner Regional","Queensland","np","2012","Median age at death_years"
"1061","Inner Regional","Queensland","928843","2013","Estimated Resident Population_persons"
"1062","Inner Regional","Queensland","6558","2013","Deaths_no."
"1063","Inner Regional","Queensland","4.5999999999999996","2013","Infant mortality rate_rate"
"1064","Inner Regional","Queensland","6","2013","Standardised death rate_rate"
"1065","Inner Regional","Queensland","80","2013","Median age at death_years"
"1066","Inner Regional","Queensland","938578","2014","Estimated Resident Population_persons"
"1067","Inner Regional","Queensland","6633","2014","Deaths_no."
"1068","Inner Regional","Queensland","4.7","2014","Infant mortality rate_rate"
"1069","Inner Regional","Queensland","5.9","2014","Standardised death rate_rate"
"1070","Inner Regional","Queensland","80","2014","Median age at death_years"
"1071","Inner Regional","Queensland","944134","2015","Estimated Resident Population_persons"
"1072","Inner Regional","Queensland","7095","2015","Deaths_no."
"1073","Inner Regional","Queensland","5.0999999999999996","2015","Infant mortality rate_rate"
"1074","Inner Regional","Queensland","5.8","2015","Standardised death rate_rate"
"1075","Inner Regional","Queensland","80","2015","Median age at death_years"
"1076","Inner Regional","Queensland","949508","2016","Estimated Resident Population_persons"
"1077","Inner Regional","Queensland","7135","2016","Deaths_no."
"1078","Inner Regional","Queensland","4.9000000000000004","2016","Infant mortality rate_rate"
"1079","Inner Regional","Queensland","5.8","2016","Standardised death rate_rate"
"1080","Inner Regional","Queensland","80","2016","Median age at death_years"
"1081","Inner Regional","Queensland","960334","2017","Estimated Resident Population_persons"
"1082","Inner Regional","Queensland","7455","2017","Deaths_no."
"1083","Inner Regional","Queensland","5","2017","Infant mortality rate_rate"
"1084","Inner Regional","Queensland","5.8","2017","Standardised death rate_rate"
"1085","Inner Regional","Queensland","80.099999999999994","2017","Median age at death_years"
"1086","Inner Regional","Queensland","972419","2018","Estimated Resident Population_persons"
"1087","Inner Regional","Queensland","7484","2018","Deaths_no."
"1088","Inner Regional","Queensland","4.3","2018","Infant mortality rate_rate"
"1089","Inner Regional","Queensland","5.7","2018","Standardised death rate_rate"
"1090","Inner Regional","Queensland","80.099999999999994","2018","Median age at death_years"
"1091","Inner Regional","Queensland","984906","2019","Estimated Resident Population_persons"
"1092","Inner Regional","Queensland","7683","2019","Deaths_no."
"1093","Inner Regional","Queensland","3.9","2019","Infant mortality rate_rate"
"1094","Inner Regional","Queensland","5.7","2019","Standardised death rate_rate"
"1095","Inner Regional","Queensland","80.099999999999994","2019","Median age at death_years"
"1096","Inner Regional","Queensland","996676","2020","Estimated Resident Population_persons"
"1097","Inner Regional","Queensland","7520","2020","Deaths_no."
"1098","Inner Regional","Queensland","3.4","2020","Infant mortality rate_rate"
"1099","Inner Regional","Queensland","5.5","2020","Standardised death rate_rate"
"1100","Inner Regional","Queensland","80.099999999999994","2020","Median age at death_years"
"1101","Inner Regional","Queensland","1009523","2021","Estimated Resident Population_persons"
"1102","Inner Regional","Queensland","8078","2021","Deaths_no."
"1103","Inner Regional","Queensland","3.9","2021","Infant mortality rate_rate"
"1104","Inner Regional","Queensland","5.4","2021","Standardised death rate_rate"
"1105","Inner Regional","Queensland","80.2","2021","Median age at death_years"
"1106","Inner Regional","Queensland","1029629","2022","Estimated Resident Population_persons"
"1107","Inner Regional","Queensland","8991","2022","Deaths_no."
"1108","Inner Regional","Queensland","4.2","2022","Infant mortality rate_rate"
"1109","Inner Regional","Queensland","5.5","2022","Standardised death rate_rate"
"1110","Inner Regional","Queensland","80.400000000000006","2022","Median age at death_years"
"1111","Inner Regional","Queensland","1050817","2023","Estimated Resident Population_persons"
