"","remoteness","state","value","year","measure"
"85","Inner Regional","New South Wales","81.400000000000006","2013","Median age at death_years"
"86","Inner Regional","New South Wales","1465979","2014","Estimated Resident Population_persons"
"87","Inner Regional","New South Wales","13200","2014","Deaths_no."
"88","Inner Regional","New South Wales","4.3","2014","Infant mortality rate_rate"
"89","Inner Regional","New South Wales","6","2014","Standardised death rate_rate"
"90","Inner Regional","New South Wales","81.400000000000006","2014","Median age at death_years"
"91","Inner Regional","New South Wales","1478446","2015","Estimated Resident Population_persons"
"92","Inner Regional","New South Wales","13574","2015","Deaths_no."
"93","Inner Regional","New South Wales","4.3","2015","Infant mortality rate_rate"
"94","Inner Regional","New South Wales","6","2015","Standardised death rate_rate"
"95","Inner Regional","New South Wales","81.5","2015","Median age at death_years"
"96","Inner Regional","New South Wales","1492516","2016","Estimated Resident Population_persons"
"97","Inner Regional","New South Wales","14007","2016","Deaths_no."
"98","Inner Regional","New South Wales","4","2016","Infant mortality rate_rate"
"99","Inner Regional","New South Wales","6.1","2016","Standardised death rate_rate"
"100","Inner Regional","New South Wales","81.599999999999994","2016","Median age at death_years"
"101","Inner Regional","New South Wales","1509682","2017","Estimated Resident Population_persons"
"102","Inner Regional","New South Wales","13496","2017","Deaths_no."
"103","Inner Regional","New South Wales","3.5","2017","Infant mortality rate_rate"
"104","Inner Regional","New South Wales","6","2017","Standardised death rate_rate"
"105","Inner Regional","New South Wales","81.7","2017","Median age at death_years"
"106","Inner Regional","New South Wales","1527522","2018","Estimated Resident Population_persons"
"107","Inner Regional","New South Wales","13662","2018","Deaths_no."
"108","Inner Regional","New South Wales","3.2","2018","Infant mortality rate_rate"
"109","Inner Regional","New South Wales","5.8","2018","Standardised death rate_rate"
"110","Inner Regional","New South Wales","81.7","2018","Median age at death_years"
"111","Inner Regional","New South Wales","1543589","2019","Estimated Resident Population_persons"
"112","Inner Regional","New South Wales","14487","2019","Deaths_no."
"113","Inner Regional","New South Wales","3.1","2019","Infant mortality rate_rate"
"114","Inner Regional","New South Wales","5.8","2019","Standardised death rate_rate"
"115","Inner Regional","New South Wales","81.7","2019","Median age at death_years"
"116","Inner Regional","New South Wales","1559150","2020","Estimated Resident Population_persons"
"117","Inner Regional","New South Wales","13600","2020","Deaths_no."
"118","Inner Regional","New South Wales","3","2020","Infant mortality rate_rate"
"119","Inner Regional","New South Wales","5.7","2020","Standardised death rate_rate"
"120","Inner Regional","New South Wales","81.5","2020","Median age at death_years"
"121","Inner Regional","New South Wales","1571760","2021","Estimated Resident Population_persons"
"122","Inner Regional","New South Wales","14617","2021","Deaths_no."
"123","Inner Regional","New South Wales","3.3","2021","Infant mortality rate_rate"
"124","Inner Regional","New South Wales","5.6","2021","Standardised death rate_rate"
"125","Inner Regional","New South Wales","81.599999999999994","2021","Median age at death_years"
"126","Inner Regional","New South Wales","1586980","2022","Estimated Resident Population_persons"
"127","Inner Regional","New South Wales","16028","2022","Deaths_no."
"128","Inner Regional","New South Wales","3.1","2022","Infant mortality rate_rate"
"129","Inner Regional","New South Wales","5.7","2022","Standardised death rate_rate"
"130","Inner Regional","New South Wales","81.8","2022","Median age at death_years"
"131","Inner Regional","New South Wales","1601957","2023","Estimated Resident Population_persons"
"132","Inner Regional","New South Wales","15564","2023","Deaths_no."
"133","Inner Regional","New South Wales","3.1","2023","Infant mortality rate_rate"
"134","Inner Regional","New South Wales","5.7","2023","Standardised death rate_rate"
"135","Inner Regional","New South Wales","81.900000000000006","2023","Median age at death_years"
"136","Inner Regional","New South Wales","1618435","2024","Estimated Resident Population_persons"
"137","Inner Regional","New South Wales","15634","2024","Deaths_no."
"138","Inner Regional","New South Wales","3","2024","Infant mortality rate_rate"
"139","Inner Regional","New South Wales","5.7","2024","Standardised death rate_rate"
"140","Inner Regional","New South Wales","82","2024","Median age at death_years"
"141","Outer Regional","New South Wales","377270","2011","Estimated Resident Population_persons"
"142","Outer Regional","New South Wales","3466","2011","Deaths_no."
"143","Outer Regional","New South Wales","np","2011","Infant mortality rate_rate"
"144","Outer Regional","New South Wales","np","2011","Standardised death rate_rate"
"145","Outer Regional","New South Wales","np","2011","Median age at death_years"
"146","Outer Regional","New South Wales","377603","2012","Estimated Resident Population_persons"
"147","Outer Regional","New South Wales","3316","2012","Deaths_no."
"148","Outer Regional","New South Wales","np","2012","Infant mortality rate_rate"
"149","Outer Regional","New South Wales","np","2012","Standardised death rate_rate"
"150","Outer Regional","New South Wales","np","2012","Median age at death_years"
"151","Outer Regional","New South Wales","377029","2013","Estimated Resident Population_persons"
"152","Outer Regional","New South Wales","3401","2013","Deaths_no."
"153","Outer Regional","New South Wales","5.7","2013","Infant mortality rate_rate"
"154","Outer Regional","New South Wales","6.4","2013","Standardised death rate_rate"
